-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::copy_         0.51%      15.332ms        43.22%        1.305s       1.061ms     916.240ms        31.67%     925.859ms     752.731us           0 B           0 B           0 B           0 B          1230            --  
                             aten::convolution_backward         0.26%       7.767ms         0.70%      21.220ms     505.245us     496.687ms        17.17%     580.635ms      13.825ms           0 B           0 B       4.87 GB    -734.46 MB            42            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     489.415ms        16.92%     489.415ms       2.472ms           0 B           0 B           0 B           0 B           198            --  
                                aten::cudnn_convolution         0.10%       3.171ms         0.14%       4.364ms     103.915us     341.409ms        11.80%     341.409ms       8.129ms           0 B           0 B       6.27 GB       6.27 GB            42            --  
                       aten::native_layer_norm_backward         0.11%       3.318ms         0.56%      16.873ms     281.222us     302.783ms        10.47%     504.810ms       8.413ms           0 B           0 B      10.82 GB     -21.80 GB            60            --  
                                aten::native_layer_norm         0.10%       3.128ms         0.29%       8.633ms     143.887us     287.746ms         9.95%     389.075ms       6.485ms           0 B           0 B      11.16 GB     -10.76 GB            60            --  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us     287.746ms         9.95%     287.746ms       4.796ms           0 B           0 B           0 B           0 B            60            --  
void at::native::(anonymous namespace)::layer_norm_g...         0.00%       0.000us         0.00%       0.000us       0.000us     201.364ms         6.96%     201.364ms       3.356ms           0 B           0 B           0 B           0 B            60            --  
void wgrad_alg0_engine<__nv_bfloat16, 128, 5, 5, 3, ...         0.00%       0.000us         0.00%       0.000us       0.000us     197.440ms         6.82%     197.440ms      32.907ms           0 B           0 B           0 B           0 B             6            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     165.304ms         5.71%     165.304ms     382.647us           0 B           0 B           0 B           0 B           432            --  
void implicit_convolve_sgemm<__nv_bfloat16, __nv_bfl...         0.00%       0.000us         0.00%       0.000us       0.000us     155.215ms         5.36%     155.215ms       6.467ms           0 B           0 B           0 B           0 B            24            --  
                                    aten::gelu_backward         0.04%       1.283ms         0.09%       2.614ms      39.606us     154.279ms         5.33%     154.279ms       2.338ms           0 B           0 B      10.79 GB      10.79 GB            66            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     154.185ms         5.33%     154.185ms       4.283ms           0 B           0 B           0 B           0 B            36            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     141.491ms         4.89%     141.491ms     393.029us           0 B           0 B           0 B           0 B           360            --  
void cudnn::cnn::conv2d_grouped_direct_kernel<false,...         0.00%       0.000us         0.00%       0.000us       0.000us     140.099ms         4.84%     140.099ms      23.350ms           0 B           0 B           0 B           0 B             6            --  
void cudnn::engines_precompiled::nchwToNhwcKernel<__...         0.00%       0.000us         0.00%       0.000us       0.000us     132.527ms         4.58%     132.527ms       1.104ms           0 B           0 B           0 B           0 B           120            --  
                                             aten::add_         0.07%       2.212ms         0.14%       4.092ms       8.973us     115.000ms         3.97%     115.000ms     252.193us           0 B           0 B           0 B           0 B           456            --  
                                             aten::gelu         0.06%       1.718ms         0.11%       3.286ms      49.780us     104.016ms         3.60%     104.016ms       1.576ms           0 B           0 B      10.79 GB      10.79 GB            66            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     104.002ms         3.59%     104.002ms       1.926ms           0 B           0 B           0 B           0 B            54            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     102.280ms         3.54%     102.280ms       1.894ms           0 B           0 B           0 B           0 B            54            --  
void at::native::(anonymous namespace)::GammaBetaBac...         0.00%       0.000us         0.00%       0.000us       0.000us     100.537ms         3.47%     100.537ms       2.793ms           0 B           0 B           0 B           0 B            36            --  
                                              aten::add         0.07%       2.179ms         0.13%       3.853ms      53.519us      72.665ms         2.51%      72.665ms       1.009ms           0 B           0 B       5.47 GB       5.47 GB            72      1466.379  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      62.870ms         2.17%      62.870ms       1.310ms           0 B           0 B           0 B           0 B            48            --  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16...         0.00%       0.000us         0.00%       0.000us       0.000us      62.517ms         2.16%      62.517ms       2.084ms           0 B           0 B           0 B           0 B            30            --  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      61.230ms         2.12%      61.230ms     850.423us           0 B           0 B           0 B           0 B            72            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.021s
Self CUDA time total: 2.893s
